"DAY","DAILY_GAMES"
21/05/19,19
21/02/03,10
21/05/05,18
21/01/28,6
21/03/05,8
21/05/10,18
20/11/05,5
20/08/12,9
21/02/07,6
21/03/14,9
21/04/27,12
21/05/01,13
21/03/23,5
21/02/18,7
20/12/29,7
20/07/05,5
20/12/12,7
20/10/21,6
20/09/13,1
20/12/08,10
21/04/19,23
20/12/02,6
21/03/13,5
21/02/17,10
20/08/27,4
20/07/13,1
21/03/18,7
20/05/30,6
21/02/19,13
21/04/15,14
20/06/10,7
21/04/16,15
20/09/04,5
20/08/01,5
20/11/28,2
21/02/08,9
20/11/19,5
21/03/07,7
21/03/28,6
20/11/09,3
20/07/12,2
20/07/21,3
20/07/27,7
21/02/25,8
20/12/25,6
20/09/27,2
21/01/10,5
20/12/05,3
20/11/04,2
20/12/26,7
20/10/11,9
21/05/09,21
21/05/04,16
21/03/16,6
20/08/22,4
20/11/25,8
20/06/05,5
20/08/14,8
20/10/15,9
20/06/02,6
20/08/06,7
20/11/10,5
21/04/26,17
21/04/14,15
21/05/24,22
21/05/20,19
20/11/24,4
20/09/08,7
21/03/15,9
20/05/28,8
20/10/01,8
20/10/14,8
21/05/21,12
21/03/11,8
20/05/31,5
20/08/15,11
21/05/15,15
20/09/20,5
21/01/27,8
21/02/11,11
21/02/21,11
20/06/06,6
21/03/10,6
21/03/20,5
20/08/16,11
20/12/31,6
20/09/26,2
20/06/16,10
20/11/06,5
20/10/09,5
20/08/17,11
20/06/26,5
20/09/01,3
20/11/27,3
20/09/21,3
20/06/29,1
20/10/30,3
21/02/04,6
20/07/31,5
20/09/09,1
20/07/18,3
21/04/01,12
20/10/31,5
21/02/23,6
21/03/03,7
21/01/21,8
21/02/16,8
20/07/24,3
20/05/29,4
20/12/17,10
20/10/24,6
20/09/05,4
20/11/21,1
21/02/05,9
21/01/24,9
20/08/26,6
20/07/09,6
20/11/29,4
21/05/08,12
20/08/19,5
21/02/22,11
20/07/26,3
21/02/13,12
21/03/12,10
20/10/18,8
21/01/19,9
21/04/03,10
20/07/16,3
21/04/22,15
20/07/23,3
20/12/22,7
20/10/19,6
20/06/17,5
20/12/28,7
21/01/04,8
21/02/20,9
20/10/26,6
20/12/06,5
20/12/10,7
20/06/14,8
20/08/29,7
20/07/06,3
20/10/06,8
21/02/01,7
20/11/14,2
21/03/25,5
20/10/16,7
21/01/23,5
20/08/31,5
20/09/07,2
20/10/27,8
21/03/31,13
21/05/14,16
20/06/19,9
20/10/25,7
21/02/28,8
21/02/26,9
20/10/08,9
20/07/28,5
20/08/09,8
21/01/18,7
21/04/07,15
21/04/28,10
21/04/13,15
21/03/09,7
21/03/24,8
21/05/03,13
21/04/05,13
21/01/01,9
20/11/17,2
20/08/02,7
20/07/20,3
20/08/21,10
21/01/17,3
20/07/10,6
20/05/26,4
20/05/25,5
20/08/03,10
21/02/24,6
21/01/20,5
20/12/09,5
21/05/17,14
20/07/15,3
20/06/25,7
21/03/06,4
20/12/14,10
20/06/24,5
21/01/09,4
20/11/16,2
20/07/14,2
21/04/04,16
21/03/01,12
21/04/24,15
21/02/09,5
21/01/08,6
20/06/23,6
20/12/07,10
21/04/21,19
20/09/28,4
21/04/25,21
20/10/02,6
21/04/08,15
21/04/23,15
20/12/15,9
20/12/11,6
20/06/28,6
21/04/30,15
21/04/18,15
20/10/03,7
20/08/08,4
20/10/29,3
20/06/09,7
21/03/02,13
20/07/17,4
20/09/22,5
20/06/13,7
20/05/27,2
21/03/30,7
20/11/20,3
20/10/20,8
20/09/30,5
21/01/25,7
21/02/27,8
21/01/14,6
20/11/08,3
20/08/18,7
20/06/22,3
21/01/02,5
20/09/15,4
20/08/25,2
21/03/27,6
20/07/04,2
20/08/10,7
20/09/11,2
20/10/13,4
21/01/15,1
20/07/01,5
20/11/22,3
20/08/24,5
21/02/12,7
20/09/23,4
20/09/12,3
21/01/12,2
20/12/21,7
20/12/04,4
21/04/06,12
20/09/25,5
20/08/11,9
20/12/16,10
21/01/05,4
21/03/29,10
21/04/10,11
20/11/12,6
20/12/19,8
20/08/20,4
21/03/08,7
21/04/29,13
20/08/13,5
20/12/23,10
21/03/19,7
20/10/23,8
20/11/18,4
20/07/29,3
21/05/23,14
20/11/15,4
20/08/30,5
21/01/03,9
20/08/04,10
20/09/14,2
20/07/19,3
20/06/12,6
20/10/17,8
20/09/02,3
21/05/16,11
20/12/13,4
21/01/31,6
20/06/08,9
20/10/10,6
20/09/17,3
21/01/07,4
20/09/29,7
20/11/07,7
20/06/18,6
20/09/03,4
20/06/15,8
20/12/03,5
20/08/05,4
20/10/12,6
21/04/17,12
21/02/10,11
20/12/20,6
21/02/02,8
21/05/12,14
21/01/11,5
21/01/13,6
20/07/03,7
21/05/22,17
21/04/20,12
21/05/02,18
20/10/07,7
21/01/06,6
20/06/03,9
21/04/11,14
20/10/28,6
20/06/07,7
20/08/23,6
21/01/22,7
21/01/29,9
20/06/04,6
20/07/11,3
21/01/16,4
20/07/02,3
20/12/18,9
20/11/23,3
20/08/07,3
20/07/25,2
21/04/12,15
20/12/27,8
20/11/02,4
20/06/21,7
20/06/11,3
20/06/27,6
21/05/11,15
20/09/18,4
21/03/26,6
21/03/22,4
20/11/13,3
20/11/03,4
20/12/24,10
21/02/14,10
21/01/30,7
21/03/04,7
21/05/18,11
20/12/01,11
20/08/28,3
20/09/06,3
21/03/21,4
20/06/30,2
21/02/06,7
20/10/05,5
20/10/04,10
20/09/16,8
21/05/13,17
20/07/30,9
21/04/09,13
20/11/01,6
20/07/22,8
21/05/07,18
20/11/11,1
21/05/06,15
20/06/01,6
20/12/30,3
21/01/26,7
20/06/20,7
20/11/30,9
20/10/22,4
20/09/19,4
21/02/15,12
20/09/24,5
21/03/17,7
21/04/02,6
20/09/10,5
20/07/07,2
20/11/26,2
